configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
1,true,true,false,false,true,true,false,true,true,20,9,6299221,69.208,0.500,5.301
10,true,true,false,true,false,true,false,false,true,40,9,7399075,76.852,0.540,5.907
100,true,true,false,false,true,false,true,true,false,40,1,5671506,40.976,0.300,2.903
1000,true,true,false,true,false,true,true,true,false,40,9,6297307,72.204,0.364,5.031
1001,true,false,false,false,true,false,false,true,false,60,5,7009192,51.740,0.440,4.408
1002,true,false,false,true,false,true,false,false,false,60,5,7739605,56.988,0.504,4.735
1003,true,false,false,false,true,false,false,true,false,60,1,7026974,40.892,0.440,3.647
1004,true,false,false,true,false,true,false,false,false,60,1,7762985,41.120,0.432,3.746
1005,true,true,false,false,true,true,false,false,true,60,1,6669052,38.956,0.412,3.542
1006,true,true,false,false,true,true,false,false,true,60,9,6602664,78.576,0.504,6.286
1007,true,true,false,false,true,true,false,false,true,60,5,6603117,55.332,0.468,4.711
1008,true,false,false,false,true,false,false,true,false,60,9,7014736,70.732,0.448,5.478
1009,true,false,false,true,true,false,false,false,true,20,1,7479443,40.688,0.332,3.207
101,true,false,false,false,false,false,true,false,false,40,5,5799421,60.168,0.408,4.234
1010,true,false,false,true,false,true,false,false,false,60,9,7727086,80.300,0.516,6.291
1011,true,true,false,true,true,true,false,false,false,20,1,7249807,38.140,0.352,3.013
1012,true,false,false,true,true,true,true,false,false,60,5,6661004,61.420,0.428,4.335
1013,true,false,false,true,true,true,true,true,false,40,1,6801240,44.084,0.272,3.156
1014,true,false,false,true,true,true,true,false,false,60,1,6801240,44.036,0.312,3.088
1015,true,true,false,true,true,true,false,false,false,20,9,7172603,77.656,0.444,6.033
1016,true,true,false,true,true,true,false,false,false,20,5,7176792,53.804,0.424,4.041
1017,true,true,false,true,false,false,false,true,false,60,1,7487951,38.440,0.472,3.528
1018,true,false,false,true,true,true,true,true,false,40,9,6695632,76.048,0.404,5.438
1019,true,true,false,true,false,true,true,true,false,60,1,6342543,40.360,0.280,2.940
102,true,true,false,true,false,true,true,false,false,40,1,6342543,40.204,0.336,2.898
1020,true,false,false,true,true,true,true,true,false,40,5,6685237,54.984,0.348,3.831
1021,true,false,false,true,true,true,true,false,false,60,9,6652155,88.008,0.388,6.231
1022,true,true,false,true,false,true,true,true,false,60,5,6285983,51.632,0.308,3.603
1023,true,false,false,true,false,true,false,true,false,60,1,7762985,40.968,0.440,3.709
1024,true,true,false,true,false,true,true,true,false,60,9,6297307,72.488,0.408,5.052
1025,true,false,false,true,false,false,true,false,true,20,9,6512104,83.936,0.504,5.881
1026,true,true,false,false,true,true,false,true,false,60,1,6669957,39.032,0.540,3.626
1027,true,false,false,true,false,false,true,false,true,20,1,6609935,43.316,0.372,3.059
1028,true,false,false,true,false,false,true,false,true,20,5,6512943,59.508,0.392,4.183
1029,true,true,false,false,true,true,false,true,false,60,9,6650316,69.892,0.548,5.576
103,true,true,false,false,true,false,true,true,false,40,5,5581697,52.036,0.372,3.652
1030,true,false,false,false,true,false,false,false,true,20,9,6589323,78.828,0.492,5.802
1031,true,true,false,true,false,false,false,true,false,60,5,7476773,48.336,0.484,4.156
1032,true,true,false,true,true,true,false,true,true,40,9,7563573,68.612,0.484,5.208
1033,true,false,false,false,true,false,false,false,true,20,5,6597134,56.532,0.440,4.256
1034,true,true,false,false,true,true,false,true,false,60,5,6643930,49.780,0.424,4.141
1035,true,true,false,true,false,false,false,true,false,60,9,7472477,67.312,0.532,5.368
1036,true,false,false,false,true,false,false,false,true,20,1,6647863,41.124,0.356,3.188
1037,true,false,false,true,false,true,false,true,false,60,9,7785578,71.892,0.460,5.611
1038,true,true,false,true,true,true,false,false,true,60,5,7572900,54.236,0.484,4.455
1039,true,true,false,true,true,true,false,true,true,40,1,7581280,38.364,0.472,3.238
